snd 	3.12	A   	   1	   0	8451
rcv 	3.12	D   	8451	  50	   1
snd 	3.13	A   	   1	   0	8501
rcv 	3.13	D   	8451	  50	   1
snd/DA	3.13	A   	   1	   0	8501
rcv 	3.13	D   	8351	  50	   1
snd/DA	3.13	A   	   1	   0	8501
rcv 	3.13	D   	8501	  50	   1
snd 	3.13	A   	   1	   0	8551
rcv 	3.14	D   	8451	  50	   1
snd/DA	3.14	A   	   1	   0	8551
rcv 	3.15	D   	8551	  50	   1
rcv 	3.15	D   	8551	  50	   1
snd 	3.15	A   	   1	   0	8601
rcv 	3.15	D   	8551	  50	   1
snd/DA	3.15	A   	   1	   0	8601
rcv 	3.15	D   	8601	  50	   1
snd 	3.15	A   	   1	   0	8651
rcv 	3.15	D   	8651	  50	   1
snd 	3.15	A   	   1	   0	8701
rcv 	3.16	D   	8701	  50	   1
rcv 	3.16	D   	8701	  50	   1
snd 	3.16	A   	   1	   0	8751
rcv 	3.17	D   	8751	  50	   1
snd 	3.17	A   	   1	   0	8801
rcv 	3.17	D   	8801	  50	   1
snd 	3.17	A   	   1	   0	8851
rcv 	3.18	D   	8851	  50	   1
snd 	3.18	A   	   1	   0	8901
rcv 	3.19	D   	8951	  50	   1
rcv 	3.21	D   	9001	  50	   1
rcv 	3.21	D   	8901	  50	   1
snd 	3.21	A   	   1	   0	9001
snd 	3.21	A   	   1	   0	9001
rcv 	3.21	D   	9051	  50	   1
rcv 	3.21	D   	9101	  50	   1
rcv 	3.22	D   	9151	  50	   1
rcv 	3.23	D   	9001	  50	   1
snd 	3.23	A   	   1	   0	9101
snd 	3.23	A   	   1	   0	9151
snd 	3.23	A   	   1	   0	9201
snd 	3.23	A   	   1	   0	9201
rcv 	3.23	D   	9251	  50	   1
rcv 	3.23	D   	9301	  50	   1
rcv 	3.23	D   	9351	  50	   1
rcv 	3.24	D   	9451	  50	   1
rcv 	3.25	D   	9201	  50	   1
snd 	3.25	A   	   1	   0	9251
rcv 	3.25	D   	9251	  50	   1
snd 	3.25	A   	   1	   0	9351
snd 	3.25	A   	   1	   0	9401
snd 	3.25	A   	   1	   0	9401
rcv 	3.25	D   	9301	  50	   1
snd/DA	3.25	A   	   1	   0	9401
rcv 	3.25	D   	9351	  50	   1
snd/DA	3.25	A   	   1	   0	9401
rcv 	3.25	D   	9401	  50	   1
snd 	3.25	A   	   1	   0	9501
snd 	3.25	A   	   1	   0	9501
rcv 	3.25	D   	9451	  50	   1
snd/DA	3.25	A   	   1	   0	9501
